Country,CO2,Cooking_Clean_Pct,Electricity_Access,Agri_Land_Pct,Corruption,Fertility_Rate,Forest_Pct,GDP_Growth_Rate,Life_Expectancy,PM2.5_Air_Pollution,Pop_Over_65,Pop_Density,Regulation
Kazakhstan,13.89268146,95.34,100,80.37633811,-0.8167171,2.73,1.225691744,1.1,72.3,13.08443846,6.918427734,6.591123088,-0.0997007
Kenya,0.36511748,13.42,65.4,48.54693046,-0.8927898,3.663,7.818111708,5.878949299,65.393,28.58337727,2.176349877,86.18562392,-0.3003297
"Korea, Rep.",12.11106978,96.68,100,17.44607064,0.4569126,1.172,63.35483649,2.946881715,82.27560976,25.09854067,13.33794019,525.3700515,1.114325
Kuwait,24.95251303,100,100,8.417508418,-0.2682074,2.082,0.350729517,2.925868226,75.224,60.84385161,2.241971253,222.0468575,-0.073882
Kyrgyz Republic,1.609873016,81.25,99.92182922,54.95828989,-1.079307,3.1,3.279457769,4.335855889,70.95121951,23.1955558,4.358538308,31.69708029,-0.3526321
Lao PDR,2.594704584,5.62,90.75510406,10.26429809,-0.9524469,2.751,82.10823257,7.022836255,66.924,25.80101805,3.912168051,29.66137782,-0.7248681
Latvia,3.574298418,95.28,100,31.05500161,0.4311383,1.74,53.97876974,1.773809577,74.5804878,13.44747197,19.6798709,31.51394339,1.080243
Lesotho,1.210551224,35.61,35.28564453,77.63504611,-0.0225262,3.197,1.646903821,5.04708319,52.059,28.33683335,4.83911076,68.3465415,-0.3875899
Liberia,0.302199709,0.71,19.8,28.03156146,-0.7216154,4.461,43.07516611,-1.599584075,62.802,17.88677836,3.196464104,47.62030731,-0.9484934
Lithuania,4.519456418,100,100,47.15526021,0.7138361,1.69,34.83285866,2.555939567,74.67073171,11.82161558,18.96844395,45.78766499,1.136219
Luxembourg,15.44261306,100,100,53.71193591,2.096854,1.41,35.67901109,4.574600283,82.68536585,10.31198129,14.04230196,239.5119342,1.722079
Madagascar,0.156876974,0.91,22.9,71.18425576,-0.9073029,4.184,21.41113785,3.993146085,65.931,22.89570824,2.878249178,42.78855277,-0.6897418
Malawi,0.075448776,2.5,11,61.4128129,-0.7566847,4.407,33.18837505,2.484040626,62.681,23.09261542,2.647480907,182.491398,-0.8448486
Malaysia,8.091591623,96.3,100,26.25779942,0.096051,2.037,67.59762355,4.449755765,75.649,15.75128619,6.203104001,93.39462487,0.7117952
Maldives,3.03839853,93.83,99.96524048,26.33333365,-0.6661988,1.947,3.333333333,6.338300636,78.013,7.972428925,3.858788001,1585.043333,-0.457905
Mali,0.176967052,0.96,41.23777771,33.76605283,-0.6547985,6.057,3.799408289,5.764064945,57.987,38.48039528,2.521902744,14.72346848,-0.5908752
Malta,2.947412574,100,100,32.43750036,0.7212449,1.37,1.093749981,5.830075673,82.45365854,13.81139444,19.37917482,1422.9875,1.156792
Mauritania,0.657914406,46.56,41.47495651,38.52818473,-0.7392347,4.679,0.214417386,1.260909224,64.208,46.66758772,3.123116834,4.039520714,-0.7430018
Mauritius,3.442148744,93.34,97.37947083,42.36453202,0.2033691,1.4,19.03448246,3.837932629,74.39487805,14.34637947,10.44303471,622.4004926,1.029757
Mexico,3.943827403,85.35,99.5,54.64955374,-0.7196069,2.186,33.92494583,2.910546459,74.917,20.70682854,6.873320325,63.44472646,0.2871219
"Micronesia, Fed. Sts.",1.297581999,11.97,78.00147247,31.42857143,0.6545952,3.145,91.85714722,0.900180417,67.471,11.13451107,3.621104205,157.45,-0.9661163
Moldova,1.825536995,92.19,100,74.21708726,-0.9516894,1.259,12.57525102,4.408886743,71.617,16.36379754,10.41601236,97.61277737,-0.1148862
Mongolia,8.300172198,42.8,91.0623703,71.48884055,-0.487203,2.923,8.017404884,1.168393456,69.321,38.22281711,3.920835346,1.967326013,-0.0763125
Montenegro,3.240945327,69.35,100,18.95910781,-0.0992209,1.73,61.48698885,2.949285705,76.568,20.92405137,14.14189241,46.26788104,0.2244326
Morocco,1.744435849,96.75,99.74356842,68.54470087,-0.129715,2.489,12.6013892,1.05985639,75.974,32.93537423,6.538053002,78.70557024,-0.2349505
Mozambique,0.285402032,3.69,27.71867561,63.51890943,-0.8750069,4.992,47.98392833,3.824214319,58.309,21.47182554,2.901468915,35.38994125,-0.7045604
Myanmar,0.476580079,18.4,55.6,19.53818828,-0.621139,2.182,43.63110126,5.7500645,66.205,36.033701,5.352983769,81.22316715,-0.8683162
Namibia,1.793035405,42.2,49.7,47.13891824,0.3328255,3.496,8.313959607,-0.280707988,62.625,25.55214196,3.704468619,2.864168155,-0.1359364
Nepal,0.333997918,27.62,90.7,28.74782002,-0.799911,2.027,25.3644925,0.588678499,69.848,98.05471403,5.600402561,190.1718242,-0.7645323
Netherlands,10.02797271,100,100,53.30958741,1.913111,1.66,11.1783914,2.191713719,81.56097561,12.02524278,18.37166129,505.500564,1.976167
New Zealand,7.325874031,100,100,40.45041966,2.283942,1.87,38.55607533,3.677595134,81.61243902,5.987363154,14.99985513,17.82385781,2.038275
Nicaragua,0.887087256,52.3,85.35560608,42.08908094,-0.8714551,2.455,25.87668273,4.563542212,73.86,17.7277291,4.88383994,52.38469337,-0.5067052
Niger,0.097016004,1.91,17.49469376,36.0637878,-0.6442041,7.087,0.891765987,5.688552607,61.137,87.70847201,2.584286018,16.41180864,-0.6713569
Nigeria,0.647284835,4.91,59.3,77.73642083,-1.025006,5.526,7.228389058,-1.61686895,53.541,71.369601,2.746004723,204.1791989,-0.9188931
North Macedonia,3.388998171,65.63,100,50.15860428,-0.2852793,1.506,39.57176844,2.848205194,75.498,29.59326907,12.85891626,82.50376685,0.4409401
Norway,7.836962479,100,100,2.694078329,2.196583,1.71,33.1778599,1.071558977,82.40731707,6.95945733,16.59421944,14.3363165,1.697963
Oman,14.16707578,95.22,100,4.639741519,0.3394838,2.937,0.006462036,4.959371501,77.142,41.78219181,2.306451192,14.47243619,0.6104661
Pakistan,0.987832348,43.32,71.41359711,47.7947281,-0.8754649,3.612,1.853725612,5.526735845,66.77,58.63276393,4.315495561,264.1491335,-0.6395842
Panama,2.654140941,89.01,96.77424622,30.36050578,-0.4947366,2.514,61.88593083,4.953499944,77.964,11.46554742,7.727940852,54.30559591,0.3606293
Papua New Guinea,0.911013497,13.43,49.4,2.627743674,-0.9333857,3.657,74.09839513,4.077773652,63.744,12.61505599,3.313453651,18.26560085,-0.5559897
Paraguay,1.092871037,66.22,98.4,55.08431915,-0.7096779,2.479,37.74880345,4.31290497,73.836,11.64932248,6.056856783,17.05983388,-0.2999762
Peru,1.856501313,75.06,94.2,18.50546875,-0.3673783,2.297,57.66046753,3.953318715,76.044,25.54274604,7.557736473,24.1609625,0.5083464
Philippines,1.179649658,43.22,92.30308533,41.72116578,-0.4882459,2.718,27.7693933,7.14945675,70.802,18.22692834,4.762957983,347.6671932,-0.0041014
Poland,7.875581533,100,100,46.94470753,0.7391052,1.39,30.88343903,3.063908116,77.85121951,20.9757679,16.3376979,124.008253,0.9519957
Portugal,4.720545309,100,100,39.4529404,0.9255069,1.36,34.61142383,2.01948623,81.12439024,8.052763686,21.16160921,112.7163894,0.844399
Qatar,38.90147093,98.49,100,5.770887166,0.9007785,1.907,0,2.131310916,79.868,88.22244652,1.108849017,228.6282515,0.6959444
Romania,3.515261924,85.88,99.1,58.76651599,-0.0187149,1.69,30.12082839,4.800799906,75.2097561,14.53706284,17.42171322,85.63224531,0.5874754
