Country,Adolescent_Fertility,Birth_Rate,Death_Rate,Fertility_Rate,GDP_per_capita,Life_Expectancy,Mortality_Rate,Prob_Survival_to_5
Tonga,14.3302,24.303,7.152,3.556,4364.015561,72.763,16.3,0.9823488
Vietnam,29.1518,16.745,6.317,2.049,2566.59695,79.442,14,0.982526422
Trinidad and Tobago,29.3338,12.937,8.375,1.725,17129.91309,76.092,14.5,0.982936203
Nicaragua,83.3048,20.641,5.061,2.404,2020.547028,77.77,13,0.983694255
Honduras,71.8464,21.599,4.437,2.46,2505.776752,77.378,13.2,0.983900845
Tunisia,7.85,17.564,6.262,2.197,3438.789089,78.536,13.2,0.984454751
St. Lucia,39.8792,12,7.205,1.436,11357.88901,77.434,17.8,0.984740615
St. Vincent and the Grenadines,48.1898,14.24,9.263,1.891,7361.400962,75.007,12.6,0.984775603
Jordan,25.8414,21.979,3.864,2.761,4241.788782,76.175,12.5,0.98481828
Samoa,23.2952,24.378,5.239,3.877,4183.408032,75.325,12,0.985345185
Moldova,22.1802,10.1,11.61,1.262,4233.999556,76.074,11.1,0.985846519
Panama,81.0386,18.976,5.076,2.461,15592.57368,81.593,11.7,0.98592329
Grenada,28.1938,16.465,9.576,2.063,10485.90716,74.941,13.5,0.986065567
Mongolia,31.4384,24.131,6.316,2.895,4134.987198,73.961,12.2,0.98631537
Seychelles,61.2244,17.1,8.5,2.41,16390.82488,77.4,11.4,0.986609757
Peru,55.9518,17.949,5.503,2.254,6941.235848,79.28,9.6,0.986622691
Mauritius,25.2786,10.2,8.5,1.41,11208.22737,77.72,12.2,0.986769557
Jamaica,51.3186,16.103,7.573,1.979,5354.236859,75.993,10.8,0.986949801
Colombia,65.482,14.882,5.562,1.807,6718.585324,79.859,10.8,0.986992121
Brazil,57.8858,13.924,6.452,1.73,9001.234249,79.362,11.2,0.987006783
Ecuador,78.7626,19.719,5.109,2.427,6295.935399,79.645,10.7,0.987168789
El Salvador,68.6136,18.253,7.04,2.039,4067.659449,77.635,10.6,0.98736006
Mexico,59.4542,17.602,6.01,2.129,9673.443674,77.844,11.3,0.987900376
Armenia,20.886,13.987,9.857,1.755,4220.490277,78.354,9.8,0.988448441
Turkey,25.5558,16.027,5.412,2.069,9370.176355,80.336,8.6,0.98945576
Brunei Darussalam,9.7116,14.896,4.445,1.848,31628.32879,76.96,8.4,0.989602089
North Macedonia,15.162,10.811,10.051,1.496,6062.942604,77.736,6.4,0.989705324
Oman,12.6964,19.189,2.436,2.888,16414.88802,80.134,8.8,0.989790082
Argentina,62.5654,17.021,7.609,2.261,11683.94962,79.863,7.6,0.990525246
Kazakhstan,29.364,21.77,7.14,2.84,9812.601405,77.19,8,0.990982831
Georgia,45.1848,13.472,12.849,2.06,4722.787783,77.989,7.6,0.991141796
China,7.643,10.9,7.1,1.69,9976.676822,79.051,6.8,0.991372585
Thailand,44.6888,10.344,7.666,1.525,7295.475616,80.704,7.2,0.991502047
Albania,19.5724,11.78,7.898,1.617,5284.380184,80.167,7.6,0.99161613
Costa Rica,52.5186,13.971,5.078,1.754,12112.13442,82.73,7,0.991908193
Ukraine,23.0026,8.7,14.8,1.301,3096.817402,76.72,6.6,0.991950572
Kuwait,7.8858,13.939,2.696,2.082,33994.38192,76.467,6.3,0.992636442
Lebanon,14.2238,17.545,4.356,2.087,8024.803271,80.821,6.1,0.992652893
Malaysia,13.4668,16.752,5.09,2.001,11373.233,78.167,6.6,0.992780924
Uruguay,58.2386,13.857,9.467,1.973,17277.97011,81.359,5.7,0.992882013
Saudi Arabia,7.097,17.798,3.472,2.319,23338.96346,76.615,5.6,0.992914498
Sri Lanka,20.6904,15.831,6.651,2.199,4080.567125,80.121,5.7,0.992944837
Bahrain,13.239,13.99,2.385,1.987,23991.05668,78.285,5.9,0.99298358
Romania,35.535,9.6,13.5,1.76,12408.59649,79.2,5.6,0.993023455
United Arab Emirates,5.8868,10.331,1.47,1.413,43839.35635,79.164,5.8,0.993151426
Chile,40.1384,12.428,6.163,1.649,15924.79424,82.381,5.6,0.993211985
Russian Federation,19.6196,11.5,12.4,1.57,11370.81346,77.81,4.8,0.993247926
Bulgaria,39.3266,8.9,15.4,1.56,9423.558612,78.6,5.3,0.993381917
Qatar,9.5896,9.541,1.202,1.866,68793.78444,81.876,5.4,0.993384063
Malta,12.4966,9.2,7.6,1.23,30133.46617,84.6,5.6,0.993547559
Antigua and Barbuda,41.831,15.327,6.366,1.994,16726.98081,77.983,5.5,0.993889272
United States,18.5562,11.6,8.6,1.7295,62840.02024,81.1,5.1,0.993977547
Bosnia and Herzegovina,9.149,8.111,10.712,1.265,6072.180992,79.72,4.7,0.994669974
New Zealand,18.6046,11.98,6.86,1.71,42949.93058,83.6,3.7,0.994788885
Serbia,14.1444,9.2,14.6,1.49,7246.191986,78.4,4.3,0.994798243
Slovak Republic,25.9352,10.6,10,1.54,19428.11621,80.8,4.3,0.994823098
Canada,8.0346,10.1,7.7,1.4988,46313.17137,84.1,4,0.995293617
Croatia,8.2652,9,12.9,1.47,14920.19138,81.4,3.7,0.995676637
Greece,6.9376,8.1,11.2,1.35,20324.30501,84.4,3.2,0.99577564
Hungary,24.2756,9.6,13.4,1.55,16150.77276,79.6,3,0.995840311
Poland,10.1692,10.2,10.9,1.46,15460.64428,81.7,3.5,0.995873213
Lithuania,10.2026,10,14.1,1.63,19080.61737,80.7,3,0.995962739
United Kingdom,12.641,11,9.3,1.68,43043.22782,83.1,3.4,0.996090055
Denmark,4.169,10.6,9.5,1.73,61390.69301,82.9,2.9,0.99612993
Switzerland,2.6438,10,7.8,1.52,82818.10816,85.7,3.3,0.996162951
